patterns,Supp X,Supp Y,Supp Z
(2+8+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(2+8+)(1+4-6+),0.4,0.05,0.66
(2+3+4+7+9+),0.5,0.05,0.67
(7+9+)(2+3+4+9+),0.4,0.09,0.67
(7+9+)(1+4-6+),0.4,0.07,0.66
(7+9+)(1+4+6+9+),0.4,0.05,0.66
(1+2+3+7+8+),0.5,0.06,0.67
(4+8+9+)(2+3+4+9+),0.4,0.09,0.67
(4+8+9+)(1+4+6+9+),0.4,0.07,0.66
(2+3+6+)(2+3+4+9+),0.4,0.08,0.66
(2+3+6+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(9+)(1+4-)(1+4-6+),0.4,0.26,0.67
(9+)(7+9-),0.4,0.15,0.67
(9+)(4+6+9+)(1+4+6+9+),0.4,0.08,0.66
(9+)(2+3+4+9+),0.4,0.05,0.66
(1+2+3+8+),0.5,0.06,0.67
(3+6-),0.6,0.07,0.67
(1+3+6+8+)(2+3+4+9+),0.4,0.1,0.67
(1+3+6+8+)(1+4+6+9+),0.4,0.07,0.66
(2+3+4+6+),0.6,0.07,0.67
(2+9-)(7+9-),0.4,0.08,0.67
(2+9-)(4+6+9+)(1+4+6+9+),0.4,0.06,0.66
(2+9-)(1+4-6+),0.4,0.05,0.66
(3+6+)(7+9-),0.4,0.11,0.67
(3+6+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(3+6+)(1+4-6+),0.4,0.05,0.66
(2+3+7+8+9+),0.5,0.05,0.67
(2+9+)(7+9-),0.4,0.1,0.67
(2+9+)(4+6+9+)(1+4+6+9+),0.4,0.06,0.66
(2+9+)(1+4-6+),0.4,0.05,0.66
(2+3+7+)(2+3+4+9+),0.4,0.12,0.67
(2+3+7+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(3+4+8+9+),1.0,0.15,0.69
(1+2+4+6+)(2+3+4+9+),0.4,0.07,0.66
(1+2+4+6+)(1+4+6+9+),0.4,0.06,0.66
(2+6+7+8+),0.9,0.1,0.68
(2+3+8+9+),0.5,0.05,0.67
(2+8+9+),0.5,0.05,0.67
(3+7-),0.6,0.07,0.67
(3+7+)(7+9-),0.4,0.12,0.67
(3+7+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(3+7+)(2+3+4+9+),0.4,0.05,0.66
(2+3+4+)(2+3+4+9+),0.4,0.09,0.67
(2+3+4+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(2+3+4+6+7+),0.5,0.06,0.67
(2+7+8+)(2+3+4+9+),0.4,0.11,0.67
(2+7+8+)(4+6+9+)(1+4+6+9+),0.4,0.06,0.66
(1+2+4+7+)(2+3+4+9+),0.4,0.07,0.66
(1+2+4+7+)(1+4+6+9+),0.4,0.06,0.66
(2+7+9+)(2+3+4+9+),0.4,0.09,0.67
(2+7+9+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(2+3+4+7+8+9+),0.5,0.05,0.67
(3+8+)(7+9-),0.4,0.26,0.67
(3+8+)(4+6+9+)(1+4+6+9+),0.4,0.1,0.67
(3+8+)(2+3+4+9+),0.4,0.06,0.66
(3+8+)(1+4-6+),0.4,0.05,0.66
(3+4+9+)(2+3+4+9+),0.4,0.1,0.67
(3+4+9+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(8+9-),0.5,0.05,0.67
(8+9+)(2+3+4+9+),0.4,0.1,0.67
(8+9+)(1+4-6+),0.4,0.07,0.66
(8+9+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(2+3+4+8+)(2+3+4+9+),0.4,0.08,0.67
(2+4+6+7+),0.8,0.1,0.68
(2+7+8+9+),0.5,0.05,0.67
(3+4+7+8+9+),0.5,0.05,0.67
(4+6+)(7+9-),0.4,0.12,0.67
(4+6+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(4+6+)(1+4-6+),0.4,0.05,0.66
(4+6-)(1+4-6+),0.4,0.07,0.66
(4+6-)(5+8+),0.4,0.06,0.66
(4+6-)(1+4+6+9+),0.4,0.05,0.66
(1+6+7+)(2+3+4+9+),0.4,0.11,0.67
(1+6+7+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+3+6+7+)(2+3+4+9+),0.4,0.07,0.66
(1+3+6+7+)(1+4+6+9+),0.4,0.06,0.66
(2+3+4+7+)(2+3+4+9+),0.4,0.09,0.67
(1+2+3+)(2+3+4+9+),0.4,0.1,0.67
(1+2+3+)(1+4-6+),0.4,0.07,0.66
(1+2+3+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(3+9+)(7+9-),0.4,0.11,0.67
(3+9+)(4+6+9+)(1+4+6+9+),0.4,0.06,0.66
(3+9+)(1+4-6+),0.4,0.05,0.66
(3+4+8+)(2+3+4+9+),0.4,0.12,0.67
(3+4+8+)(4+6+9+)(1+4+6+9+),0.4,0.06,0.66
(6+7+9+),0.5,0.05,0.67
(1+2+3+6+7+),0.9,0.11,0.68
(3+4+7+9+),0.5,0.05,0.67
(4+7+)(7+9-),0.4,0.12,0.67
(4+7+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(4+7+)(2+3+4+9+),0.4,0.05,0.66
(1+2+7+8+)(2+3+4+9+),0.4,0.07,0.66
(1+2+7+8+)(1+4+6+9+),0.4,0.06,0.66
(1+6+8+)(2+3+4+9+),0.4,0.11,0.67
